customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,LatePayments,DataUsageGB,AvgSessionMinutes,SatisfactionScore,Churn
CUST00001,Male,0,Yes,Yes,66,Yes,No phone service,DSL,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.33,3975.92,1,1,128.02,61.31,4,No
CUST00002,Female,0,Yes,Yes,40,Yes,Yes,No,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),99.39,6878.3,1,0,111.47,10.61,4,No
CUST00003,Male,1,No,No,45,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,22.39,6229.12,3,0,100.61,95.49,1,No
CUST00004,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),31.56,2960.17,2,1,457.99,117.39,1,No
CUST00005,Male,1,No,No,10,No,No phone service,DSL,Yes,No,No,No,No internet service,Yes,One year,Yes,Mailed check,104.57,7262.0,2,0,17.49,83.78,3,Yes
CUST00006,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,One year,No,Mailed check,85.69,6833.25,2,1,392.48,60.06,1,Yes
CUST00007,Male,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),118.27,5581.29,7,0,61.23,144.28,3,No
CUST00008,Male,0,No,No,12,Yes,No phone service,No,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.74,1722.48,1,1,24.6,117.47,4,No
CUST00009,Male,1,No,Yes,35,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),64.7,4580.32,5,1,173.03,173.88,1,No
CUST00010,Female,0,Yes,No,63,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),86.38,4101.94,4,1,324.95,73.13,1,No
